"Symbol","Date","Close","52Hi","MktCap","Delta ErnQ1","Delta RevQ1","RevQ1","ErnQ1","Zax","Ind","Delta ErnQ2","Delta ErnF1","Delta EarnF2","PE F1","PE Ind","P/S","ESP","Avg Vol","Short"
"NUE","1/30/18","67.39","66.55","18930","40.86","25.55","4970","0.70","4","183","3.60","43.10","21.88","15.14","15.2","1.11","-12.44","3028701","1.75"
"NVDA","2/8/18","212.47","199.50","113000","15.94","22.35","2660","1.15","1","4","13.46","62.99","11.41","47.59","23.4","13.46","1.93","9292266","1.01"
"ODP","3/7/18","3.50","6.26","1730","-31.82","-6.76","2540","0.08","3","28","12.50","-4.89","6.86","7.61","19","0.18","6.67","3645987","3.23"
"ORCL","3/21/18","47.71","53.14","209470","5.07","5.52","9790","0.73","3","202","1.56","7.39","7.76","15.85","56.3","4.96","-0.05","17133732","2.45"
"OXY","2/13/18","75.00","74.30","53990","334.18","26.54","3580","0.30","1","42","240.00","177.56","109.25","45.13","58","4.52","-18.70","3346387","1.98"
"P","N/A","4.97","13.70","1240","58.46","-4.50","374.93","-0.05","3","206","3.57","-25.49","59.38","N/A","-45.5","0.83","0.00","8415441","5.49"
"PBR","3/20/18","10.97","11.71","61830","53.97","18.64","25390","0.32","2","21","25.00","77.78","57.57","9.79","14.8","0.81","-5.67","12441586","0.24"
"PEP","2/13/18","117.75","120.57","167840","8.54","-0.33","19450","1.30","4","224","7.45","7.65","7.31","21.07","98.6","2.64","-0.38","3084372","2.54"
"PFE","1/30/18","36.71","37.35","217390","18.09","0.33","13670","0.56","3","80","-1.45","7.96","5.71","13.30","17.4","4.14","-0.90","13799274","3.49"
"PG","1/19/18","90.54","94.67","230860","5.65","2.78","17320","1.14","3","84","6.83","6.57","6.74","21.70","22.6","3.53","0.35","5630807","3.68"
"PHM","1/30/18","34.28","34.60","9720","25.54","11.84","2790","0.84","4","165","48.39","18.44","37.16","12.15","16.5","1.19","7.00","3508983","3.07"
"PLUG","3/8/18","2.42","3.21","530.05","25.00","10.20","35.90","-0.06","3","208","55.77","-113.33","72.27","N/A","16.4","4.19","16.67","2731812","6.1"
"PM","2/1/18","104.26","123.55","167250","23.48","19.75","8350","1.36","4","239","17.35","5.93","12.03","19.63","13.8","2.14","1.36","4077251","1.72"
"PNC","1/12/18","144.69","147.28","68030","12.18","7.80","4180","2.21","2","32","9.86","15.55","10.75","15.48","16.5","3.93","0.34","1573249","3.74"
"POT","N/A","20.65","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2"
"PRU","2/14/18","115.49","118.17","48540","3.33","-9.01","12210","2.54","3","107","2.03","14.33","10.19","10.04","24.3","0.86","-0.18","1415176","2.2"
"PYPL","1/25/18","76.75","79.39","89250","23.94","21.68","3630","0.52","3","100","22.87","24.73","20.56","32.74","16.1","7.2","1.18","6087619","2.12"
"QCOM","1/24/18","65.94","69.28","95380","-24.01","-0.86","5950","0.90","3","100","-34.11","-16.15","7.20","18.17","13.1","4.33","-0.47","6633973","1.48"
"RAD","1/3/18","2.11","8.77","1910","-200.00","-4.37","7740","-0.02","3","75","N/A","-266.67","135.00","N/A","7.9","0.07","0.00","17078768","8.34"
